Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
SC_498	19838.437788018433	188.95517130963816	95.46196636481243	253.91735116667877	11.608544874462478	9.247926267281105	10.62594859241126	9.280811885331659
SC_497	26577.842010771994	233.8964707264079	104.32956068503351	230.30293236638815	12.414697802197802	10.129391602399314	10.91821824181004	9.760402010050251
SC_496	18726.741214057507	203.39288842179016	84.67405606407323	213.96883314329153	8.912213039485767	9.090558766859345	10.572002007024587	10.735091277890467
SC_492	15326.436797752809	209.17033714660082	104.17918726636923	242.3181134654819	12.34583879423329	9.522977941176471	10.283809078146936	10.107098381070983
SC_491	18551.584175084176	182.8294674942829	96.65256797583082	191.20308886686487	9.316324370103748	8.428896473265073	10.139299160150594	10.93233763294863
SC_488	8149.932673267327	118.6468220338983	59.89600622406639	127.99812332439679	6.174027935069837	6.610244988864142	6.151345291479821	5.674766355140187
SC_487	30878.289738430583	341.6804668859225	175.9024309024309	308.7460303611935	10.801972062448645	10.518093556928509	12.250653983353152	11.211578079934075
SC_486	13650.041158536585	184.88331944279082	79.77275337352857	229.37340676632573	7.84979544126242	8.327349524815206	9.667533142708605	9.244994617868675
SC_485	22757.57027463651	228.93479675758832	108.21924978191335	212.58673431321347	9.858266340440405	9.68792270531401	11.45029515938607	11.689707271010388
SC_484	25011.350775193798	226.5317401598106	112.30783794017418	195.80416408987838	10.40255591054313	9.450793650793651	10.77319587628866	10.083601286173634
SC_479	19856.603603603602	207.76320212914973	106.70780770542108	235.8079433153086	9.654981549815497	9.419953596287703	10.15997621171573	9.238853503184714
SC_473	26534.623960066554	310.6870437447757	134.1694844789357	269.8748549771831	10.61573790569504	11.49740034662045	11.906891830214514	10.731384554611891
SC_472	9719.767287234043	234.35276555023924	86.5770203202547	286.98475317197995	7.06092073381793	7.812916453100974	8.167647553388264	7.03384660081348
SC_471	11276.87016229713	248.88888888888889	84.72413474850023	274.7572362278245	6.796962529565542	7.2986598596043395	8.504060734463277	6.9706875383670965
SC_461	16028.203180212015	300.7810403746361	116.33724635250712	180.87291556959804	7.905466024256521	7.910101946246525	9.23513446829509	7.8127532522926
SC_460	15365.9184	276.0838061465721	117.25115273775216	174.48900926362066	8.104719501335708	7.997950819672131	9.572568193515183	7.73888527434396
SC_459	17676.705985915494	253.3139602993817	100.38071734123066	204.25934374451657	8.486018401587588	8.541544477028348	9.87391874180865	8.592584269662922
SC_458	17711.485804416403	265.0642354584027	134.79947264337508	322.4054158012155	10.087261336515514	11.517736486486486	10.976019184652278	9.844345733851563
SC_457	17920.012844036697	232.59469026548672	102.13514976542764	177.73719523719524	8.889461744689626	7.959349593495935	9.495718925302628	8.708333333333334
SC_443	13453.689504373178	196.57805584394296	85.79750616963241	195.42693968519293	7.487311385459534	8.432146294513956	9.517936117936118	7.103199830472557
SC_439	13708.298157453937	171.14531754574813	87.12415701193153	179.45357618836073	7.975262543757293	7.194010416666667	8.149152542372882	7.407030796048809
SC_433	19289.028333333332	191.56200420367483	82.34687448184381	183.74411012088592	10.808320950965825	8.713933415536374	9.294950144741074	8.097051917558048
SC_429	21969.004731861198	256.07428012471723	118.25011279891713	224.13655410401773	9.919518156424582	9.034749034749035	10.773908384677203	9.200647249190938
SC_428	11006.828282828283	207.16298275443285	84.28263679448514	181.08475356978352	6.540752712999307	7.136363636363637	8.32664402593393	6.52085059375863
SC_421	14480.247311827958	200.82937469704314	96.88640499090201	154.74888178913739	7.424267324020816	7.234567901234568	8.494925839188134	8.365888181174805
SC_417	26235.455108359132	268.7144378327592	124.61392028554432	262.2128523463731	10.561374109761207	10.882282996432819	13.351012261191903	10.617274372898889
SC_414	14147.51567944251	154.53071485826715	78.32505846375247	150.71709361900326	8.981127679403542	8.005037783375315	8.583258862079237	9.32804632426989
SC_413	14520.623352165725	134.06658805031446	76.36618888670725	137.50442650063235	8.995100567302734	7.5829903978052124	8.034318398474738	9.07868499056858
SC_410	16760.300324675325	183.9602276130578	80.70159027128157	161.37397524513744	9.721146545178437	7.925128205128205	9.516459400146307	9.74367215749297
SC_409	11565.905172413793	188.60964003015454	70.60196391870291	156.41356498083343	7.332086061739944	7.897456279809221	8.583317426989884	8.112967914438503
SC_408	10401.69465648855	164.7063058589871	70.83580705009277	156.53486276116345	7.7394017645792985	7.951631046119235	8.505006765899864	7.854250111259457
SC_403	13781.14402173913	211.54370376668652	80.48222424794895	192.8440617511007	9.210027855153204	7.784489187173751	10.848273456574816	8.608821822402787
SC_400	14856.831506849316	210.0095027336631	73.64699086230438	170.36158159431182	8.567064892750475	8.873371924746744	9.836224489795919	8.80846953937593
SC_398	20718.106128550076	235.30836860957342	99.15165718111818	225.32246637848223	10.708878374617312	9.933051444679352	11.151344700298822	10.847732342007435
SC_394	23998.0193236715	200.74099573257467	89.6204810600605	167.27426095031728	11.553872053872054	9.77875329236172	11.215760640539402	12.301256732495512
SC_390	13975.06862745098	164.0464855153829	74.97810073661158	135.7479136983513	8.164496230294722	7.143876337693222	8.51101321585903	9.051022923342371
SC_387	15992.25043177893	166.43167432873608	89.35808847271554	167.74872086412734	8.894301870378426	7.712070874861572	9.439237490071486	9.92084191260581
SC_380	22688.11375212224	210.4625824210998	131.10500782472613	182.94769431318232	10.938160169003265	9.351	11.607829010566762	12.020506634499396
SC_375	17738.15455950541	212.96793829039197	86.35010482180293	180.02741375646383	10.362299901992813	8.192997438087104	10.273839137645108	10.438755555555556
SC_373	12298.820089955023	190.13075579945124	87.29740871613663	157.99642725144759	7.661849710982659	7.650259067357513	8.7602	8.327721088435375
SC_372	1918.2688821752265	92.25603528319405	54.03350970017637	56.25795990566038	3.1946992864424058	4.033707865168539	4.351681957186544	2.972633979475485
SC_371	10558.726050420168	245.09568148063522	170.8470830473576	209.42441126216477	7.667161716171617	8.191829484902309	8.687915861772913	8.170981661272924
SC_366	14290.145161290322	201.57119551031062	138.39219359875096	170.52387213411126	8.487314597970336	7.286311389759666	9.107334963325183	9.37136797454931
SC_363	24260.837728194725	269.8569548047389	181.79969622175813	223.82882358646106	9.444251207729469	9.307862679955702	10.774688906539582	11.220388349514563
SC_360	16163.521126760563	180.26903479400204	105.89452719085556	162.66311548791407	8.554753309265944	7.971166448230669	8.97524115755627	8.549593005728067
SC_359	24591.362565445026	295.82334343871804	134.27488006532613	302.10814108896506	10.614056064833267	12.9015625	12.48846960167715	11.24932157394844
