Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SC_284 - illumina_universal_adapter	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.000008178594328635548	0.00002044648582158887	0.00002862508015022442	0.00006951805179340216	0.00015539329224407544	0.00028625080150224423	0.00048253706538949737	0.000797412947041966	0.0011818068804878368	0.0017992907522998208	0.0029115795809942554	0.006591947028880252	0.023120886167052695	0.06813995864902707	0.07540663971001976	0.07807286146115495	0.07886209581386829	0.0796963124353891	0.08136883497559508	0.08642729556785617	0.09108091574084978	0.1018275886886769	0.1295530234627514	0.13253412109553908	0.13395310721155734	0.13414530417828027	0.13424753660738822	0.13424753660738822	0.13424753660738822	0.13424753660738822
SC_286 - illumina_universal_adapter	0.00005837139715927813	0.00005837139715927813	0.00005837139715927813	0.00005837139715927813	0.00005837139715927813	0.00005837139715927813	0.00005837139715927813	0.00005837139715927813	0.00005837139715927813	0.0000745856741479665	0.00007782852954570418	0.00009079995113665487	0.00012971421590950695	0.00018808561306878508	0.0002367284440348502	0.0003696855153420948	0.0006193853809678957	0.0011090565460262845	0.001751141914778344	0.0030839554832485278	0.008077952795764546	0.03662156600665155	0.12194433437652749	0.13951736777686793	0.14611333565586637	0.14764396340359856	0.14897677697206874	0.1506533332126991	0.15362054590162907	0.1553943878041916	0.15835511478232608	0.1692186803647473	0.17119682215736728	0.17232857869117774	0.172448564340894	0.17264637852015602	0.17266259279714471	0.17266259279714471	0.17266259279714471
SC_287 - illumina_universal_adapter	0.0005858023646687777	0.0005858023646687777	0.0005858023646687777	0.0005858023646687777	0.0005858023646687777	0.0005858023646687777	0.0005858023646687777	0.0005901097349972246	0.0005901097349972246	0.0006245686976247997	0.0006633350305808218	0.0007279455855075252	0.0009260846206160823	0.0011672973590091083	0.0016195712434960324	0.002076152498311403	0.0028299423057896096	0.0036914163714789885	0.005009471691983738	0.007111468412265823	0.014283240009129903	0.04012746197981127	0.09628264895177344	0.10754642236066206	0.11069080270042829	0.11150489569250475	0.11218115283407092	0.11333983545242314	0.11557966802321552	0.1169924854909461	0.11978796883410814	0.12622748747513624	0.12693389620900153	0.12736463324184621	0.12738617009348846	0.12740339957480223	0.12740339957480223	0.12740339957480223	0.12740339957480223
SC_288 - illumina_universal_adapter	0.000052111265592062885	0.000052111265592062885	0.000052111265592062885	0.000052111265592062885	0.000052111265592062885	0.000052111265592062885	0.000052111265592062885	0.000052111265592062885	0.000052111265592062885	0.00005955573210521473	0.00014516709700646092	0.00020100059585509972	0.00037222332565759207	0.0005955573210521472	0.001124114443485928	0.0016973383649986197	0.0025497297807545055	0.0035919550925957635	0.005099459561509011	0.007850189938118616	0.015078766922389054	0.04018523023799364	0.1316256124190377	0.14138903025103636	0.14424770539208664	0.14488048504570455	0.14528620847067134	0.14577754326053935	0.1467751017733017	0.14728132549619602	0.14869949636695146	0.15175917210385687	0.15204950629786979	0.15217978446184993	0.1521872289283631	0.15221328456115912	0.15221328456115912	0.15221328456115912	0.15221328456115912
SC_292 - illumina_universal_adapter	0.00003304349416005806	0.00003304349416005806	0.00003304349416005806	0.00003304349416005806	0.00003304349416005806	0.00003304349416005806	0.00003304349416005806	0.00003304349416005806	0.00003304349416005806	0.000055072490266763436	0.00007710148637346881	0.00014318847469358493	0.00025700495457822936	0.0004075364279740494	0.0007416428689257476	0.0011932372891132078	0.002448890067195414	0.00326763442249463	0.0045306301992790714	0.006425123864455734	0.012126962356741308	0.03374475053612151	0.0978601437046875	0.10798613891506974	0.11125010183821325	0.1118228557369876	0.1123478801441974	0.11312256650728321	0.11416160082364948	0.11474536922047716	0.11546865459264732	0.11699966982206335	0.11742923524614411	0.11771194069618016	0.11775599868839356	0.11778537068320251	0.11778904218255364	0.11778904218255364	0.11778904218255364
SC_293 - illumina_universal_adapter	0.000012767316215227842	0.000012767316215227842	0.000012767316215227842	0.000012767316215227842	0.000012767316215227842	0.000017023088286970456	0.000017023088286970456	0.000017023088286970456	0.000017023088286970456	0.00002127886035871307	0.00007234812521962444	0.00016171933872621933	0.0003021598170937256	0.0005702734576135103	0.0009532929440703456	0.0015448452620425688	0.003098202068228623	0.004400468322181863	0.005915523179722233	0.008639217305637506	0.0177167791346645	0.046553890692792456	0.14684967110755065	0.16283009523694417	0.16783488319331347	0.16970316713280847	0.17143526636600773	0.17296734431183505	0.17568678266567858	0.17747420693581048	0.18030855113559108	0.18416853640466163	0.18497287732622097	0.18524099096674077	0.18526226982709948	0.18527078137124295	0.1852750371433147	0.1852750371433147	0.1852750371433147
SC_294 - illumina_universal_adapter	0.002438643520115827	0.0024424420302717707	0.0024424420302717707	0.0024424420302717707	0.0024424420302717707	0.002450039050583658	0.002465233091207433	0.0025981809466654607	0.002795703474774531	0.00333509191691853	0.003916263970777909	0.005234346994890358	0.007228564826760778	0.009576044103133957	0.016257623467438847	0.019505349650770675	0.02347859127388774	0.030885686077977866	0.03815223600629808	0.046022749049413336	0.06063181910917264	0.08370017128621846	0.12356553537284713	0.137866926109975	0.14238715319554796	0.14406609468447504	0.14578302127496157	0.14739738809123762	0.14939160592310805	0.15030324836053452	0.15154915969168406	0.15437904975786207	0.1551121622179592	0.15555278939604866	0.1556857372515067	0.15578070000540528	0.15581108808665284	0.15581108808665284	0.15581108808665284
SC_296 - illumina_universal_adapter	0.00004349090054384888	0.00004349090054384888	0.00004349090054384888	0.00004349090054384888	0.00004349090054384888	0.00004349090054384888	0.00004349090054384888	0.00004349090054384888	0.00004832322282649875	0.00005315554510914863	0.00005315554510914863	0.00007248483423974813	0.00008698180108769776	0.00015463431304479602	0.00025128075869779355	0.00034309488206814114	0.0005847109962006349	0.000932638200551426	0.0012902300494675167	0.0019570905244731996	0.004991788917977321	0.01860444078820202	0.07678076874902387	0.08624728810073498	0.08911285521434635	0.08955742886435014	0.08996334393609273	0.09061087512196782	0.09277092318231231	0.09384369872906058	0.09599408214483977	0.10344552310468588	0.10453762794056476	0.10499186623513385	0.105045021780243	0.1050546864248083	0.1050546864248083	0.1050546864248083	0.1050546864248083
SC_298 - illumina_universal_adapter	0.000033831105423475785	0.000033831105423475785	0.000033831105423475785	0.000033831105423475785	0.000033831105423475785	0.000033831105423475785	0.000039469622994055084	0.000039469622994055084	0.000039469622994055084	0.000045108140564634384	0.000050746658135213684	0.00006766221084695157	0.00012404738655274455	0.00019734811497027543	0.000369322900872944	0.0006089598976225641	0.0011248842553305699	0.001598519731259231	0.002447116625631415	0.004158406708302232	0.009030085889282745	0.02594563860102064	0.0712793198684782	0.07853045346424317	0.08081969159789837	0.08129614633261231	0.08176696254975568	0.08251406612785744	0.08427892212744877	0.08580414113029046	0.0915948986752754	0.1053782548765565	0.10623530954728455	0.10661309022451336	0.10664128281236626	0.10668075243536032	0.10668639095293089	0.10668639095293089	0.10668639095293089
SC_301 - illumina_universal_adapter	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022341817000903405	0.00022720491865325495	0.0002612856564512432	0.00031430013747033605	0.0003824616130663125	0.0005187845642582655	0.0007043352478250904	0.0015109127090441456	0.0021887407163596897	0.0031278543801264765	0.004741009302564587	0.009455511364619628	0.035727973458224344	0.1400907660929528	0.1525491691324396	0.15592316217444044	0.15655554919802533	0.1570364662758414	0.15770293403722427	0.15851708499573178	0.15896013458710562	0.15949027939729654	0.16045590030157286	0.16061115699598594	0.1606944654661588	0.16069825221480302	0.16071718595802412	0.16071718595802412	0.16071718595802412	0.16071718595802412
