Sample	1	2	3	4	5	6	7	8	9	>10	>50	>100	>500	>1k	>5k	>10k+
SC_284	0.8260708977906643	0.332425449394042	0.19299823311366698	0.12339589634457375	0.09293238118870466	0.07637945116043555	0.06826147342232068	0.06199570789896652	0.05906778939503808	1.2375116513289497	0.7503837601669103	2.3366977529948856	1.2447967551490715	4.02181230159258	2.406126833601175	86.16914366545801
SC_286	0.8474737752335199	0.4168463228971082	0.26850650999112685	0.176566719631282	0.12410664731510393	0.09657311711311112	0.07688580712941885	0.07158882879960256	0.0573410421954612	1.3150499617960396	0.817492591235313	2.610841112481018	1.6589820550789371	4.618033237732764	3.117044810668868	83.72666746070134
SC_287	0.8114100571317966	0.3574256567570371	0.21426817110057028	0.1441002949957227	0.11179417172050925	0.09671777095790562	0.08822462886760969	0.07700289957978707	0.0737784850222043	1.5568923554335818	0.918911812273417	2.916975022780497	1.5826564199923399	4.877069782575106	2.9747132082307504	83.19805926258115
SC_288	0.6024568836439206	0.2900739519548798	0.19385630871536433	0.13333815537320187	0.10170564188677328	0.08150291241507276	0.07105951346907134	0.06136972502923345	0.0554439720966867	1.1774333442720601	0.6868334865273196	2.2060626367761316	1.225412795404995	4.030817037053723	2.4133914762932718	86.66924215908828
SC_290	0.8628356899275526	0.35534356210227974	0.20568940198529953	0.13866254061829258	0.11155771171727619	0.09514097702229223	0.08508263879178063	0.0744750608994645	0.07319988439334764	1.568586745713158	0.9426709080104897	2.5900333125822788	1.3569306844256923	4.674206352776659	3.1133129109530984	83.75227161808102
SC_292	0.6252454258205602	0.3349240402624664	0.25447003188190465	0.182060602647791	0.14003716227389357	0.10892334283786265	0.08910192999790316	0.07540492122811138	0.06585421458385993	1.4107163005318604	0.8518029940667822	2.606683899349999	1.4129731501749305	4.508280535496488	2.9650404826910335	84.36848096615456
SC_293	0.9020024295438736	0.5293162963388073	0.3552233277133525	0.24015625007762598	0.1578495504086419	0.1189988671200412	0.08882205135955668	0.07449341509127551	0.06532103217368312	1.3539668760121228	0.8420612504807957	2.9828489417775153	1.8148047342054865	5.025791058729176	3.237384013945741	82.21095990502229
SC_294	0.7298999333751708	0.4709640144588697	0.4347050990395747	0.3587640203379599	0.2803159769374674	0.22887417606075444	0.178779883910734	0.1436655292372128	0.12071087830114063	2.3104469642674026	1.4815194548011077	4.557476211163403	2.5394011781238817	7.343131391523454	4.895817132382929	73.92552815607894
SC_296	0.5296134404059869	0.33769392348971133	0.2718826182769007	0.20571493641467808	0.15869477925711534	0.1147064966201785	0.09219647938444772	0.07281902829828572	0.06203771201808964	1.145690830747785	0.666085937339637	2.0786436507136354	1.2306186051056875	4.270189958161638	2.2807761391266843	86.48263546463954
SC_298	0.6554122718844054	0.27224193357841553	0.17915278458924927	0.12669631747588928	0.09464417962196656	0.07431340895575844	0.06327317235771532	0.058596687232466554	0.05267354095101173	1.1750282444180427	0.7303868723149711	2.204419846668635	1.261654291753146	3.8584705155576002	2.4726923119231183	86.72034362071761
