Sample	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SC_284	96306	742478	150697	505868	2255484	6327734	1049179	372230	115776	102783	169411	357863	671373	2381544	7107529	1031742	653064	121804	73252	18437	7602	2506	3221	1217	667	399	303	258	607	0	0	0	0	132746
SC_286	44963	172025	177019	711560	4217663	13648990	2873432	1053007	250231	211127	295678	479003	367277	857052	3471875	860497	607739	167167	132145	33392	13914	5607	4648	2446	1619	1089	889	553	1016	0	0	0	0	173398
SC_287	155078	477488	327339	1188256	4164904	9889417	1913333	557197	142347	111419	150577	215628	285513	807591	2138840	353326	193399	25244	14004	4895	2505	715	768	344	205	142	87	105	289	0	0	0	0	95066
SC_288	143719	261477	435395	1178631	4198552	16285802	1798271	555982	111820	80207	107651	138314	110486	313899	791564	122991	66493	10312	11301	3777	2213	787	882	363	196	158	89	123	349	0	0	0	0	133788
SC_290	85074	309137	214935	1004941	3900353	7966683	2336140	708881	179359	146775	274031	374456	565527	1627851	5172257	1388688	1057841	159746	75619	27234	10189	3966	2674	1501	909	626	442	381	679	0	0	0	0	105196
SC_292	167391	232308	450469	1226852	4716953	14829302	2473654	770693	172297	139932	173940	237907	149902	245384	611209	273930	158663	25862	42312	10517	6226	1675	2186	811	390	258	148	95	237	0	0	0	0	115326
SC_293	146150	414004	316844	1055832	3477992	12559703	1993157	655007	256280	229753	194585	222088	216496	532458	801332	173113	99220	11943	8543	2783	1323	711	784	371	212	162	128	95	523	0	0	0	0	125907
SC_294	1217090	1318879	1405279	2694307	4277782	7495370	2851133	869646	328535	365736	312458	352427	247594	444387	1097503	361320	269278	138228	69305	33155	27340	10988	7833	3560	1763	989	463	289	357	0	0	0	0	123117
SC_296	43725	322090	116359	531264	2537553	10424649	1690764	544345	85464	65792	116850	207980	157955	669382	2435679	385392	226270	24363	22142	4959	1788	887	1438	620	384	203	182	124	486	0	0	0	0	74895
SC_298	136952	521362	437131	1366881	4896984	12909994	2130822	663506	159176	124092	179434	300980	579402	2662368	7214806	600671	285607	48457	43998	15622	6966	1514	1418	502	340	165	144	123	414	0	0	0	0	180485
SC_301	83513	131748	262273	788402	4091503	17173853	2097845	662170	103459	73227	115679	154146	75580	113190	228319	60519	29763	6694	11841	2639	1421	705	1209	434	224	158	113	123	475	0	0	0	0	136654
SC_303	155840	323623	364283	1102875	4498664	10793663	2473849	940442	223348	198064	281668	348676	300222	610480	1234682	297205	220890	68567	29134	5933	3017	1445	1292	813	593	457	417	399	1519	0	0	0	0	138190
SC_307	97375	197820	232239	787848	3627746	14128582	2209213	780108	136098	112142	170263	311607	197059	305192	1538310	332734	271118	98749	131561	32130	12244	4312	4994	1717	1106	612	463	286	683	0	0	0	0	160243
