Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SC_284	36.447234571899656	36.49888047311533	36.61548162924142	36.432010200342845	36.45664486253418	36.59117186170978	36.62542953977414	36.52819999770999	36.653980767217575	36.62160890943352	36.623186396707624	36.63545919535718	36.61996681126421	36.64914165652521	36.62096386369882	36.6795652095683	36.64160197398553	36.6223980894149	36.67022484071341	36.71112559818303	36.62911486701944	36.6536814249475	36.624598301291925	36.73761591147273	36.65726784345718	36.53712243525793	36.360653116925896	36.765278167493676	36.52724845311838	36.692804079571474	36.64887452740768	36.4731649432935	36.04384189086915	34.860954936243004	34.63685923346392	33.965164947041906	33.98219707609379	33.26073109551591	33.17809034701401	33.312415104591146	32.257919691806194	33.30080483646408	32.654001822064906	32.749736174416775	33.44754898652449	32.80699983426996	33.281590405737276	33.290871288023745	32.697068084914044	33.241980925978936
SC_286	34.73696285383728	36.25951251905948	36.32949771639744	36.417407342946646	36.4662073875424	36.44205161711308	36.54901519183711	36.58864538179612	36.56649690642945	36.6004780422856	36.58189385414369	36.63148256117217	36.5957267078425	36.56936832516993	36.64944545064843	36.589090269128135	36.606491625763724	36.56640371358095	36.53672688726364	36.5952942110134	36.63511976239036	36.610087266137754	36.585851966670155	36.5837688343121	36.47859923747494	36.49481896185171	36.41599349151077	36.72260540741362	36.55681425678828	36.575958090912046	36.58481371100443	36.28834730143127	35.862546284900255	35.25264044411145	34.634930782593685	33.61071965997544	33.82440210742815	33.43853292552218	33.11878292343987	33.320711562897074	33.126850876996485	32.68769391618865	33.43619779819853	33.39395428852298	33.4375279507379	32.857691553535794	32.594562797725466	33.23493927265597	33.78343464169137	33.231196438251885
SC_287	36.15628565291184	36.42357004242889	36.28127533137569	36.471740743170415	36.43681580922071	36.447962422156664	36.57221411886214	36.58543274922089	36.572681726984996	36.60476668245605	36.52249823516269	36.59414948840716	36.595283532867235	36.55274618333607	36.62836766903338	36.544445536123526	36.58190518521671	36.560483888278114	36.50362750075221	36.53529739870155	36.627599670778146	36.580757531404565	36.5877864228031	36.590349487844215	36.458711175786796	36.49400794698616	36.434657350959135	36.711860536704336	36.55847687429997	36.5754052549467	36.578799717590584	36.02306922068489	35.30864380284692	33.58836038207649	32.89953410283316	32.492774992627545	33.07836289984635	32.6967489076043	32.22210997257901	32.43614788337247	32.3497403382902	31.906133411363896	32.654609773200626	32.359438508275716	32.62546274448115	32.05013359139966	31.680727073822396	32.26459512338796	33.17347947741569	32.56818420886542
SC_288	36.16446464310185	36.439018615335186	36.375447672993765	36.409581221958554	36.51139971157159	36.43954691190129	36.60476471168028	36.65882281693253	36.608282370997074	36.62118943814824	36.664674577057525	36.66880677708498	36.67842621893461	36.491614999587576	36.704820277178335	36.67041299517986	36.66245359491799	36.58360695749134	36.54031594992002	36.6054834349478	36.63629648918534	36.673333472815386	36.53174357911571	36.53012955656666	36.37442118417363	36.34580944680299	36.22702529442606	36.574337342696644	36.40027749270435	36.41176809190802	36.27730040353208	35.32371361871223	34.87728684622083	33.72144604412856	33.664576110526795	33.42361184095288	33.842660563664104	33.60400043880499	32.938071909847885	33.223327854530375	33.415707148318894	33.032392366196554	33.89507179063484	33.456830031282585	34.05042605694178	33.476246001136126	32.940562681256914	33.4542858851317	34.29250754925703	33.56683708553832
SC_290	36.39208534835872	36.62102799387959	36.40565197767923	36.641580413550734	36.51558595342135	36.59619394795866	36.639835130135125	36.557148880927436	36.58264522342375	36.692756117218735	36.61271479470629	36.60869704745393	36.60104296820049	36.65328046897254	36.701342256077346	36.603717964828	36.65574613122165	36.60791536609475	36.65297002183985	36.66911230949607	36.66041242557307	36.584440822509784	36.68569347740604	36.7138410417046	36.657617739239456	36.65369221798616	36.61553097735417	36.859761103245134	36.80227315547018	36.7403690135089	36.74736361924428	36.52247759011825	36.22421584474946	35.308606698495744	34.32961519684765	33.34410294088961	33.39347992699288	33.20317252994655	32.95571489573696	33.16426084896204	32.70609703140447	32.34175021430435	32.98147106787381	33.21752183406114	32.85845572609209	32.20149055097152	32.02680710293167	32.7566447393437	32.94295410471881	32.76578957374805
SC_292	35.89010236837776	36.393877202078116	36.38142241154431	36.41829050657843	36.49543906157358	36.37867715804949	36.50409616332357	36.63336275305763	36.609120503712084	36.63023250614086	36.65696733639588	36.644162248108984	36.62580651367308	36.50126147210455	36.68073816522474	36.66320961959265	36.6641955640284	36.56771581294004	36.63084130083955	36.646212304012245	36.65218050741164	36.70855965526539	36.55853315030015	36.5490945571515	36.39548633783372	36.38113987373174	36.32647699683711	36.574332541350735	36.444998604974316	36.381280058104814	36.332406818445484	35.94558559179251	35.367452139531565	33.997451988177225	33.751466580827056	32.971204549246025	33.28692128902569	32.91986856661658	32.2580137462223	32.63576514731591	32.55585896577189	32.29085676867935	33.152461875895895	32.817885489979076	33.082578333895796	32.5892686818237	32.19085028527825	32.71980299325391	33.488675580528245	32.80158854031181
SC_293	35.83856371267427	36.348372990674456	36.368385035360575	36.45406453682581	35.90269232482997	36.384351160095804	36.55654259204352	36.57933582633624	36.55981723842184	36.63893348819804	36.603428092496145	36.59152563428133	36.589666372578634	36.53577433921797	36.64653965939098	36.60940975037386	36.653127339211714	36.573176693132375	36.57378380104585	36.60995253818649	36.65689647265163	36.67822933975102	36.5433381810734	36.54721820626252	36.39941156241642	36.392530876672524	36.24970567670953	36.64925265854848	36.443931594693396	36.47707443930694	36.380019557511304	35.65010168663608	35.0578223620427	33.989490829722776	33.59688290401436	33.38807810585042	33.758800761811145	33.50687003949012	33.089489943985896	33.405265388781615	33.343108158108116	32.99928241927217	33.84674662266192	33.601161825726145	33.663948429961245	33.25215436790647	32.93329997537865	33.45382703106261	34.15042849087025	33.44997498153399
SC_294	36.023121113483114	36.38766318352148	36.36990495861694	36.53984612463269	36.36379049681892	36.49123157613367	36.53407664352703	36.50499787074513	36.496489549861735	36.60098432313075	36.52506220915045	36.588397921743926	36.582939386679634	36.61347697728692	36.59322856307945	36.53587736525156	36.5827095768152	36.61001179615884	36.54279003462863	36.54513976699344	36.59899872812124	36.580348028200504	36.57248764872931	36.58449794730681	36.397387186131716	36.43270037667169	36.357808776611385	36.657794799579676	36.53150783321333	36.458413243882426	36.432020593916164	36.25044824114849	35.67304143942097	35.020046144225866	34.448661873699216	34.20132091835276	34.56694718136492	33.88249117897147	33.514522551690746	33.74844106696901	33.41523728519901	33.15994888791279	33.71301498881071	33.69107083700298	33.459448952815976	33.24189998131858	33.0860157411243	33.395250046703545	33.97386226110123	33.3837812812203
SC_296	36.16113224017183	36.37525973732269	36.37925113888171	36.42979911456392	36.44800885126808	36.428024395882396	36.601407056272976	36.63957897135709	36.55571029725354	36.63757350928656	36.61508750562482	36.63897372299118	36.634883742057596	36.54724368202856	36.682024495621526	36.53162397342145	36.58131793278665	36.565596441187495	36.45508786354541	36.55745903014129	36.62218273822281	36.62343600093636	36.600918321538764	36.64665584635153	36.520532383424026	36.55568900699923	36.4087764506707	36.7618827324146	36.55001872902655	36.652239403885595	36.67002640407672	36.30806992835958	35.91326611678063	34.75242128465853	34.22137122137122	33.626131261196285	34.02882466947301	33.71301076761888	33.436398917428384	33.47257263245507	33.3704407792957	33.05193042561602	33.65130075178036	33.719674193762	33.98474416630185	33.472581614259965	33.046865611856596	33.406969757660725	34.123452833967555	33.55222645036384
SC_298	36.29556708770229	36.38425569707358	36.05443004793078	36.46605166979623	36.32060937940333	36.44437173889288	36.55229217580131	36.48449483788078	36.56909901789429	36.63007628688732	36.59334605307717	36.59904011004582	36.327492430572086	36.58204556170292	36.62850570601063	36.555178081864284	36.56528800025351	36.53865411739454	36.29196901689251	36.423289355762236	36.430387066888954	36.40110731006923	36.57469634258561	36.633612671277156	36.47434882680981	36.53544835406517	36.437150304831576	36.70711618620992	36.54611714401492	36.5388193716331	36.588030898325385	35.252759969859056	34.359455745149425	32.21404107307062	31.56367530026898	30.259888392964616	31.468878695898912	30.75693795413414	30.437145611712992	30.799311643328046	30.772952204809794	29.922495326226624	31.6813640528576	31.195075736650793	30.6828506514685	29.73957392581101	29.67864919522398	30.978723993683687	31.713250408621214	30.700434939191624
