Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SC_284	0.000030799551089108505	0.0000424821394332531	0.00005628883474906036	0.00007115758355069896	0.00008390222538067488	0.00009770892069648216	0.00011470177646978339	0.00017205266470467508	0.00022781047271081976	0.0002315276599112294	0.00023577587385455474	0.00034410532940935015	0.00047048969422327814	0.0006059015136667725	0.0007514028412256643	0.0010004543836531106	0.0013482769002628706	0.0018044288724274257	0.0024443160976408006	0.004022527577586153	0.010912599566916892	0.017832940080593825	0.018720816794748813	0.017607253714854665	0.017642832506630013	0.029302586700829244	0.04593115812849034	0.08926134727017976	0.14550716885306397	0.16898120602365088	0.24558871703689328	0.37317320228981066	0.43034354143211107	0.4529026195246543	0.46017078255494104	0.4769841512891367	0.5980417868448776	0.7773323460554932	0.9105196944729138	3.179769550642993	5.431008572773601	5.546259430895559	5.6524578761310345	4.01716155234899	2.334047332420877	2.959935630637509	3.532921451644654	3.648767059718678	4.170437642450911	4.5033505211998275	6.73955352110478	8.954493148169902	8.243293279596896	5.24265604219513	2.881431823125315	2.7498880024772183	3.0924257409414815	3.272435841388748	2.588535526642294	1.9405549228401413	1.2332496043996797	0.6264862343291552	0.5055560451917139	0.44766191659881954	0.3219041633415321	0.21715807624793157	0.15358992690698328	0.07972145183369986	0.05123930145067532	0.04183587988712474	0.0369254755953836	0.03500846905345806	0.03288117592133791	0.02966102975229732	0.025329444610334248	0.020240615332973444	0.016307831274940038	0.013839087947125114	0.012930501189996413	0.013489141323543693	0.013322398926268174	0.01298625899800256	0.013040954752522873	0.011081997097906988	0.0082516245581665	0.0062714258338339894	0.00493164536145777	0.004196704349262491	0.003829233843164852	0.0034803492730692605	0.0031150028739432845	0.002860641064086681	0.002587162291485114	0.002345545123458487	0.0022202228121303907	0.002134196479778053	0.002094369474059378	0.0018092081131136665	0.0010365642021713758	0.0005458954917173024	0.0005458954917173024
SC_286	0.00012066583029053027	0.0001853082393747429	0.00025817786416058256	0.0002385892553471848	0.00021077343083216	0.00021860887435751908	0.00022605254570661027	0.0004321247104235548	0.0006448570021370545	0.0006311449759676761	0.0006284025707338004	0.000904601955002709	0.0012046994420239626	0.0014166481893849267	0.0016466184568542162	0.002107342536145332	0.0030331001886665103	0.004236232541985401	0.005437797806599221	0.009646214524069597	0.02660916621211953	0.04170532348025265	0.04123441332437857	0.034997400278192724	0.029972138573203657	0.03885753153096089	0.0559869863939247	0.13890517572886119	0.2482726882279999	0.28706322671681894	0.4266265797018103	0.6267340130350751	0.694008347599456	0.7232846987876077	0.71586061604733	0.7487929851844143	0.9084871596747583	1.1788448290233353	1.4202779585980492	4.751047038565129	8.126971387796676	8.44243417957116	8.663542168641092	6.45987852523852	4.194052390627512	5.104709184614443	5.851868088051643	5.712708652180384	5.0003923990117505	4.217147752190685	4.270394683983791	4.314172874048677	3.9999911772905907	2.6758952468272055	1.5574945962471953	1.2681034592589924	1.1213518703838365	1.0686698740689085	0.928683798905724	0.7377367825979564	0.527294791026919	0.4412157837738527	0.4056189720659699	0.3874427019480182	0.33980163822512977	0.2739435600779576	0.18867787186282356	0.09302081844435825	0.05841871629201989	0.050231853124548434	0.04245008238733804	0.03798035362829693	0.03289593432469141	0.028022288451918044	0.02334805461686507	0.018508101151250747	0.014471672419162003	0.011785290606492633	0.010891658272425428	0.011890285549732446	0.012957081185710088	0.013384896402194696	0.013917314789742846	0.012404290644996003	0.009533384137304427	0.007311644125688852	0.005576093384821809	0.004541423067298139	0.004097936963762813	0.003925557206204913	0.0036991128883220345	0.00345464705033083	0.003225068555037809	0.0030993096864557947	0.0030765869002322534	0.002907733092260765	0.002789417895027842	0.0025778609198431465	0.0014299684433780372	0.0004928493977450878	0.0004920658533925519
SC_287	0.00016398931968749028	0.0002188201044909763	0.00026912357678775245	0.00024699004897717094	0.00022938383367329928	0.00022334741699768615	0.000217311000322073	0.0003843185283473699	0.0005563564036023443	0.0005402592924673759	0.000531707702176924	0.0006977091607562854	0.0008767895221328086	0.0010513425710026217	0.0012440048698992745	0.001523189141146382	0.0021932313921394406	0.003155536817176768	0.0041922913812133256	0.006069616967329012	0.01524597638370692	0.024728180911649224	0.025840893718853914	0.0237517905143688	0.022357881297025133	0.03166402367192872	0.04704431032666803	0.07327958326832867	0.12459566446243893	0.16351244277011684	0.402213485582225	0.7422684795514927	0.8540005400781999	0.892085801988812	0.9127132438388282	0.9442902425036835	1.1741660441360453	1.5201231445098935	1.7854030329794495	4.728363412646718	7.513764765490192	7.52562783336194	7.601450760189595	5.623355749264838	3.623930556982078	4.728243187347928	5.782415328667244	5.771377740775884	5.132982410274174	4.443480261023108	4.007775729655135	3.56877229657394	3.30082380889904	2.478987812042122	1.8179322763748826	1.5766255136978016	1.5133965641943687	1.4060927183339467	1.1667669063959125	1.0491951157702724	0.8678178978486785	0.7843236914957663	0.800402190345985	0.7388724921367372	0.5964573256478883	0.481417308782945	0.35574716215224694	0.17126320178160412	0.09531250413431663	0.08751697503248522	0.08460289488233298	0.08361594075587023	0.07886880207522347	0.07100586632051438	0.05952711697711304	0.045039716955641504	0.03385725506406816	0.028374679618442526	0.027647291409031147	0.03054376534387952	0.0326927296803978	0.03348048205656531	0.03399911085594507	0.0296639576134089	0.024104920889892165	0.019678718362498834	0.015438135647880604	0.013078399762438834	0.011797673357762913	0.0112096257666136	0.010907804932832943	0.010435958362689181	0.010206071494292916	0.010267944765217949	0.009957069306423873	0.00954860511137405	0.009435422298706305	0.007919275643681471	0.00430798936749591	0.002212849746335183	0.0022123467116122154
SC_288	0.00008427290528321376	0.0001289891407396129	0.00018316457985025032	0.00020036313194886536	0.00020810248039324213	0.00021670175644254968	0.00022573099629432256	0.0004600612686379527	0.0007038507446358211	0.000681062663105156	0.0006531150159449066	0.0008457387994493952	0.001060290736879618	0.001207768321125242	0.0013831935525311157	0.001762851590108043	0.0025496853486196816	0.0034921660036237863	0.004415728251319415	0.005752915676986736	0.011941384685870896	0.018603673805071903	0.019804132741555232	0.019338051979682764	0.019502728116027004	0.030015773050107924	0.045451903522417396	0.06975431756536539	0.11144489774381568	0.1388219829381936	0.26799299836624935	0.46985799387712623	0.5490693652777177	0.5797051461309807	0.5900130983312856	0.6059965727241334	0.7241970617322852	0.9262860683842464	1.122623879214431	6.382718485525772	11.633127727222778	11.827673878888088	11.96020979103424	7.757067682640175	3.5204825597265508	4.406918293006899	5.218657274812542	5.136315766930003	4.245902008549245	3.330145323723573	2.684506518375935	2.0425099363989805	1.9179201852861933	1.644783099987248	1.4316216654941984	1.1856367943209418	1.027756235874668	0.9358183658849039	0.8058385885444108	0.7613889306455401	0.6879691716641575	0.600891612497462	0.5441922858663528	0.46614009687720814	0.33274038745190543	0.2579744118050036	0.19437029647010295	0.11068257192204456	0.0720094777092963	0.05790967473504921	0.05306269278985702	0.05045969192973164	0.04618499180562086	0.04135176870210757	0.03350578923471938	0.024165255589961545	0.01779577182023946	0.014728840017253931	0.014946831665103875	0.016974110993728125	0.01824680384902564	0.01868665681894772	0.018697835877811823	0.015633483857641083	0.011884629463945468	0.009565834677249693	0.0074155857011203455	0.006031962184786764	0.0053332710057805285	0.005026276850820249	0.004854721293636564	0.004631140116354569	0.004746800379217754	0.004969091665092355	0.004908896732747202	0.004828923465488641	0.004801835745933323	0.003926429444113816	0.002044047916920399	0.0010370726915464876	0.0010370726915464876
SC_290	0.00008327077765392866	0.0001172953964802651	0.0001405753988351269	0.00010834154942070287	0.00008685231647775355	0.00009132924000753466	0.00009894001000816255	0.00020907232884077788	0.00032099541708530566	0.00032099541708530566	0.00032547234061508674	0.0005623015953405075	0.0008152477747731402	0.0009876093306697132	0.0012029493524521847	0.0015897555454252726	0.002253235612538833	0.003257857252621714	0.0044093219844814156	0.007591966921802808	0.024534884020259422	0.04041274101098111	0.0402166517603767	0.031845252452039	0.022929011550126936	0.039813728642696396	0.06527623121832647	0.09797836683396556	0.16026804236557504	0.2012444280489556	0.5009758014448599	0.9159906418867457	1.0382679588709511	1.0739306840168346	1.1148855804672722	1.1862831092278683	1.3149700376296616	1.6189889606900372	1.9604416798446778	3.4305792008624345	4.874294366899776	4.972743706089075	5.007704897317842	4.1721815835706755	3.2972304519890807	4.17051661570995	4.938042176425036	4.926843599907641	4.923081641065566	4.808930835672619	5.515931076419181	6.1984434408425475	5.67567800488589	3.6323290735779024	1.988517362684641	1.9217632990091338	2.3231333719169527	2.5511990488328267	2.2869141651763174	1.8479276376942189	1.2162708861074012	0.7836796438875948	0.6455522268385522	0.5743404904044419	0.4598548111314675	0.3411997729752078	0.21341897389584233	0.1148411470012391	0.09370245717067163	0.07469433524792699	0.05972305527198597	0.05307392844555507	0.047246317086839	0.0407852210486589	0.034735554282865684	0.029311761426535864	0.024097488591399808	0.020571463619344206	0.01946252966101742	0.02070935286406146	0.021466400632947448	0.02132672061881828	0.021156149832333618	0.01800842489854452	0.013984118337624278	0.011792664269796424	0.010131725640247632	0.008950713213091375	0.008233062371267462	0.007423186904730059	0.006702849908788279	0.006312909869344344	0.006040712918733653	0.005829402128127985	0.005644057493995047	0.005442595935154897	0.005323957461615698	0.004805529716867044	0.0029847649173050665	0.0016779509389619604	0.0016779509389619604
SC_292	0.00012457414286888116	0.0001949119242166168	0.00026991064288257584	0.000260165046671745	0.0002457585131426907	0.00026313109769243265	0.0002800799606677906	0.0004643988455248087	0.0006571921618695057	0.0006402432988941477	0.0006232944359187897	0.0008457482624703632	0.001099981207100733	0.0012868424214040545	0.0014898050555339664	0.001854205609504163	0.002710123189759741	0.003940186920196347	0.00518931812148023	0.007561735216455963	0.018445023854507706	0.02933593948089836	0.030453293272548837	0.02805375799681253	0.026302093008309282	0.03676504984457214	0.05360247404586715	0.09730215117680702	0.16770899914116721	0.20719900243060257	0.3682246411790117	0.6165983638788002	0.7124785054519747	0.7445309239462485	0.7562654692272376	0.7897809983178593	1.0371636362551637	1.4035408513698615	1.6596063918094417	6.197336069241393	10.621380400822982	10.74874559770233	10.91357837479658	7.325812128497873	3.7048731438622204	4.670893927778319	5.534831709993836	5.426184413662899	4.568535507054388	3.690203479235473	2.7898468277016555	1.89007321705419	1.7984798666490578	1.5678079601623078	1.3434452679181346	1.069133852764007	0.9038341344947869	0.8203995430044178	0.7472978258269757	0.7249507499939662	0.6463609909851031	0.594493233064764	0.5456915244566669	0.4725448927923401	0.3575701621911273	0.285571815993381	0.21581919413986964	0.12252163556256529	0.08712181663065824	0.08906458004920864	0.08765443464965886	0.09677843131086845	0.10343043630712206	0.09706274848728008	0.07886348314591507	0.05348849294235787	0.029394413058163343	0.014058234394910676	0.013515447058124838	0.014989998136980981	0.016544208871821307	0.016933185277105772	0.01666242719107443	0.013641292365716871	0.00978330743095101	0.007560464051732812	0.005754986423282802	0.004463906786134908	0.0037461224391284976	0.003379179555711997	0.0031516410702678165	0.0030079994565516575	0.002935543067332002	0.002911390937592117	0.002844019207265069	0.002752071625623752	0.0027147841270779645	0.002242334571639861	0.0011025235365470366	0.0004347383353179322	0.0004347383353179322
SC_293	0.00012962836544390798	0.0002052449119528543	0.0002887177230341587	0.0002887177230341587	0.0002808614584618006	0.00027889739231871116	0.00027840637578293876	0.0005244056602049005	0.0007890635729862127	0.0007792432422707652	0.0007654947792691385	0.0014941633183553486	0.002250328783444812	0.002517441778904986	0.0028149977995830474	0.0032937389219611164	0.004001784766544887	0.0051335778815002195	0.006889944029958018	0.00968922930039635	0.02310232800809042	0.037792560725328446	0.04070134268324402	0.04162641783663918	0.11867329551429044	0.7792648469983391	1.410500974891236	1.4845713103290352	1.5191565510426985	1.545921371391115	1.2341523860685861	1.0041734981592698	1.1070552108665848	1.116205304010703	1.0596927378590528	1.027444735855666	1.2587022308241336	1.5813928969518474	1.808565134342689	5.6709778033078	9.383783626021499	9.460296768724765	9.607581106761975	6.537456025356958	3.38582170799719	3.924844930472034	4.428020017703208	4.354095514176533	3.77211718311925	3.1683578495516396	2.7962105248913245	2.4242149243405633	2.18609154515239	1.792476486531571	1.5575358765282747	1.2453176110755142	1.0142142952992792	0.8918176213942268	0.6895301020363296	0.5711558355923244	0.48734127700212254	0.44712702272236465	0.4388720527229595	0.3684003774758361	0.2559566087508898	0.1979989809344613	0.14506297922937694	0.08436891625908897	0.06501648153469222	0.05609176498049345	0.04813091388601588	0.047453802083185774	0.04872062474547851	0.045854561226175136	0.03711348485635525	0.02481499368486448	0.014314605067372158	0.008451867630249955	0.008323221297877593	0.009698558614576027	0.010847537308283393	0.010900076077611036	0.010423790037911829	0.007640217296618214	0.004360717854194496	0.0028621353870171957	0.0019552278454456123	0.0013954689946651005	0.0010208233778707754	0.000802321019452067	0.0007384888698016576	0.0006977344973325502	0.0006545250421845808	0.0006206449012162868	0.0005906928925341717	0.0005749803633894556	0.0005735073137821384	0.00048021417198538646	0.0002430531852073275	0.00009918534022602051	0.00009918534022602051
SC_294	0.0004617892679038455	0.0006663794498865619	0.0008475878967855392	0.0006659619189029237	0.0005077176761040472	0.0004375724708528301	0.00037703047822529155	0.0004455055595419558	0.0005294292872532333	0.0005486357125005903	0.0005511408984024195	0.0006225386966045512	0.0007336019382523115	0.0009390271822023042	0.0012521754199309517	0.00173651136095126	0.0023603026505067256	0.0030212541976059907	0.004183660456054731	0.007252095654811838	0.01962938413378254	0.03235781616999296	0.03395862996126181	0.028648888442334864	0.026863108425314294	0.04067378077111493	0.061088123154137274	0.07482155226796483	0.10655724727233688	0.15429606981759372	0.22175404565811535	0.32767915102122397	0.40149779386648987	0.45924733927545613	0.54008467795568	0.6120210911267051	0.7160268065580289	0.9353387134928445	1.239009832954872	2.6956894234859106	4.122993204132101	4.356814312748343	4.493761552664786	3.9900496688177642	3.5760142545745865	4.428832561992161	5.153011661005726	5.182999988843572	4.740761609248585	4.263148334595836	3.811706319528512	3.3520460421102376	3.249931324503811	3.204174521537885	3.114498469465024	3.0799360897014214	3.3465196020108023	3.3515103498582297	3.1082818506496346	2.980437203707488	2.926683847342923	2.637273498627058	2.0671119762650005	1.5321980020106958	1.0787008994419047	0.8658281553367574	0.7060749555630125	0.4604707050575161	0.34424678045198764	0.26396016513918247	0.19914307277017246	0.1690415940357603	0.14819802980155788	0.1292120609135618	0.10536895409290258	0.07802192725755161	0.05755831621845996	0.049271161255209035	0.04738016343031164	0.046280804350392266	0.04350046553034552	0.04241029213206619	0.04244786992059363	0.03776734759400944	0.03268808317805078	0.028725296612340655	0.023183825397494508	0.019424793951799822	0.017576801818217164	0.016808127277339244	0.016442370135672183	0.015787264022343855	0.015154287051148347	0.01401442746581607	0.012775195506377901	0.012266642768306578	0.012123847171902315	0.009586093853349357	0.005315586952697881	0.003582415839615727	0.0035815807776484513
SC_296	0.0001381284588814697	0.00017383115376184955	0.00021421616928227926	0.00019899862720211734	0.0001790987644819056	0.00020777797840221078	0.00023587190224250967	0.00035468578848377386	0.00047935257552510034	0.00047057322432500693	0.00047057322432500693	0.0005923135609663022	0.0007292714396877595	0.0008515970664090609	0.0009938225558505742	0.0013315349320141676	0.0019261896533004947	0.002645511161628148	0.0034824759760370533	0.006364444329987718	0.020609234297179282	0.033844984166440106	0.03386371344900031	0.02904502022030904	0.02384120611897367	0.02719784472780938	0.03785480650456278	0.09270233990194636	0.16559846349648197	0.19269563833053027	0.320395983856529	0.5142686405379517	0.5850243583099046	0.6083850412731932	0.6425917347090772	0.7195228481151758	0.8423711388779228	1.0910919142468092	1.3720510525125187	5.929701393780532	10.500260893053163	10.729156722832078	10.860789047115558	6.9454360396463795	2.9763159442675082	3.4467551371641933	3.8461641112414036	3.7754961869814516	3.502000082525901	3.1792652795096674	3.906113032976121	4.631201404462075	4.310545551810025	3.0453438857232826	2.0261443225837983	1.5643492788787245	1.2917071126499038	1.2930708385363183	1.0547372062173024	0.8239561570906868	0.5904324386491623	0.43722573672657206	0.397085957749665	0.37511767988671124	0.3061511938893374	0.2377161512846093	0.17308607949000163	0.08141443541894625	0.04325586336286024	0.03722854611895611	0.03213827829314195	0.03113157935553124	0.02964552784239543	0.026785800511485	0.022550641492559937	0.017290639543543974	0.013695787872145723	0.011722189722364725	0.011730969073564818	0.013792360735346752	0.014733507183996764	0.01472648370303669	0.014857588680958085	0.011955720464287209	0.008019644676245328	0.005706578280060718	0.004139171445804041	0.0032132425392341884	0.0025413295273870396	0.0021380646622627493	0.001929701393780532	0.0017564555300986888	0.0016950000716980348	0.0017266057360183712	0.0017359703772984708	0.0017061205832181532	0.0016973412320180597	0.0014620546198555562	0.0008018474096085317	0.0003769268115240105	0.0003769268115240105
SC_298	0.0001343026449043676	0.00018518534799957906	0.00024264472700505593	0.00022949137518452506	0.00020976134745372883	0.00021114591080325835	0.0002132227558275527	0.0004101768922981331	0.000614746127191126	0.000605054183744419	0.0005922469727612706	0.0009314649933960135	0.0012994127035334951	0.0016531686393382982	0.002027346884548663	0.0025205975778185698	0.003257185279768297	0.004210111005082019	0.005137076167592062	0.007021120745464415	0.016324694172628315	0.02566945835944072	0.026475620369704307	0.023919716426472733	0.02218208942281313	0.06088513487305039	0.10513716408736475	0.1342365320044276	0.1832857270840245	0.21256751122238787	0.34391238267132296	0.5548028415365931	0.6400040240949191	0.6599403517647953	0.679448157077992	0.7201539734133239	0.8724829408468915	1.1205655404072248	1.3348218727752013	4.279893690179984	7.138120848330548	7.199620383189953	7.275597258572876	5.054123169772534	2.7990457284791104	3.71059793178219	4.5813148620767565	4.600714325307853	4.5180025876519805	4.349556264407377	5.167549368492695	5.981436549964983	5.513425408134489	3.5267940318646036	1.9347618256472958	1.8688334187735838	2.217063908391252	2.3648051251661535	1.9247261643490678	1.6193925625673622	1.0968926223978057	0.6544872490126731	0.649282329240954	0.5273874487933956	0.3651578149881793	0.29074445776771296	0.19796590613824905	0.09785955298139998	0.07801114508421894	0.07242789337724097	0.06838150698824083	0.06852411701324237	0.06657430567626736	0.059568415127647774	0.048301184730013574	0.03574077216391876	0.02569264979554534	0.019616839676972232	0.018511611983210257	0.01968745240779824	0.02063137847134002	0.02074422038432668	0.020291468169030512	0.016253389160127543	0.011272076369357556	0.008446182572967717	0.00646452627895353	0.005199727659158274	0.004595711897926002	0.004211149427594166	0.0039006610964621618	0.00361232577892263	0.003371411756104486	0.0031748037604712883	0.0029411586952381745	0.0027698189807338906	0.0027172055734517677	0.0023361045114937556	0.0012530298313242546	0.0005507100722753837	0.0005510562131127661
