Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SC_303.raw	(14.0, 2.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 9.0)	(18.0, 62.0)	(19.0, 174.0)	(20.0, 280.0)	(21.0, 374.0)	(22.0, 1190.0)	(23.0, 3141.0)	(24.0, 7336.0)	(25.0, 14190.0)	(26.0, 23178.0)	(27.0, 35259.0)	(28.0, 51409.0)	(29.0, 71630.0)	(30.0, 95574.0)	(31.0, 125133.0)	(32.0, 167893.0)	(33.0, 241279.0)	(34.0, 387424.0)	(35.0, 1071295.0)	(36.0, 10680947.0)	(37.0, 11899298.0)
SC_307.raw	(15.0, 3.0)	(16.0, 6.0)	(17.0, 14.0)	(18.0, 47.0)	(19.0, 201.0)	(20.0, 378.0)	(21.0, 698.0)	(22.0, 2123.0)	(23.0, 5174.0)	(24.0, 11445.0)	(25.0, 20542.0)	(26.0, 31293.0)	(27.0, 44104.0)	(28.0, 60433.0)	(29.0, 79681.0)	(30.0, 102787.0)	(31.0, 129616.0)	(32.0, 171092.0)	(33.0, 238645.0)	(34.0, 364539.0)	(35.0, 814510.0)	(36.0, 8575952.0)	(37.0, 15393932.0)	
SC_309.raw	(18.0, 1.0)	(19.0, 12.0)	(20.0, 63.0)	(21.0, 365.0)	(22.0, 1534.0)	(23.0, 4612.0)	(24.0, 10983.0)	(25.0, 21569.0)	(26.0, 34857.0)	(27.0, 47719.0)	(28.0, 62300.0)	(29.0, 78483.0)	(30.0, 99526.0)	(31.0, 124952.0)	(32.0, 156113.0)	(33.0, 206181.0)	(34.0, 306729.0)	(35.0, 673396.0)	(36.0, 7691834.0)	(37.0, 14131217.0)				
SC_312.raw	(17.0, 1.0)	(18.0, 7.0)	(19.0, 33.0)	(20.0, 110.0)	(21.0, 336.0)	(22.0, 928.0)	(23.0, 2372.0)	(24.0, 5602.0)	(25.0, 10761.0)	(26.0, 17336.0)	(27.0, 26071.0)	(28.0, 37554.0)	(29.0, 51868.0)	(30.0, 68321.0)	(31.0, 88070.0)	(32.0, 117878.0)	(33.0, 164083.0)	(34.0, 242966.0)	(35.0, 488903.0)	(36.0, 7658495.0)	(37.0, 16112090.0)			
SC_313.raw	(17.0, 1.0)	(18.0, 3.0)	(19.0, 26.0)	(20.0, 98.0)	(21.0, 288.0)	(22.0, 793.0)	(23.0, 2059.0)	(24.0, 4678.0)	(25.0, 9113.0)	(26.0, 15645.0)	(27.0, 25198.0)	(28.0, 38403.0)	(29.0, 55344.0)	(30.0, 74713.0)	(31.0, 97740.0)	(32.0, 130126.0)	(33.0, 182347.0)	(34.0, 271730.0)	(35.0, 565739.0)	(36.0, 9411502.0)	(37.0, 16698297.0)			
SC_314.raw	(15.0, 1.0)	(16.0, 2.0)	(17.0, 16.0)	(18.0, 54.0)	(19.0, 196.0)	(20.0, 305.0)	(21.0, 642.0)	(22.0, 1924.0)	(23.0, 5268.0)	(24.0, 12071.0)	(25.0, 21677.0)	(26.0, 32400.0)	(27.0, 43186.0)	(28.0, 56793.0)	(29.0, 73024.0)	(30.0, 93494.0)	(31.0, 120283.0)	(32.0, 159432.0)	(33.0, 223232.0)	(34.0, 350817.0)	(35.0, 907331.0)	(36.0, 9611520.0)	(37.0, 10580592.0)	
SC_315.raw	(14.0, 1.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 12.0)	(18.0, 55.0)	(19.0, 188.0)	(20.0, 255.0)	(21.0, 340.0)	(22.0, 843.0)	(23.0, 2253.0)	(24.0, 5590.0)	(25.0, 11165.0)	(26.0, 19433.0)	(27.0, 31191.0)	(28.0, 48016.0)	(29.0, 69385.0)	(30.0, 93406.0)	(31.0, 122083.0)	(32.0, 167119.0)	(33.0, 242640.0)	(34.0, 397444.0)	(35.0, 1131726.0)	(36.0, 11319333.0)	(37.0, 11491764.0)
SC_318.raw	(16.0, 4.0)	(17.0, 7.0)	(18.0, 47.0)	(19.0, 188.0)	(20.0, 342.0)	(21.0, 562.0)	(22.0, 1493.0)	(23.0, 3693.0)	(24.0, 8505.0)	(25.0, 15194.0)	(26.0, 24242.0)	(27.0, 36650.0)	(28.0, 53183.0)	(29.0, 72709.0)	(30.0, 93724.0)	(31.0, 120541.0)	(32.0, 160197.0)	(33.0, 226710.0)	(34.0, 344547.0)	(35.0, 752073.0)	(36.0, 7926572.0)	(37.0, 15557381.0)		
SC_319.raw	(16.0, 3.0)	(17.0, 9.0)	(18.0, 33.0)	(19.0, 155.0)	(20.0, 225.0)	(21.0, 409.0)	(22.0, 1085.0)	(23.0, 2793.0)	(24.0, 6244.0)	(25.0, 11610.0)	(26.0, 18862.0)	(27.0, 28771.0)	(28.0, 42094.0)	(29.0, 58219.0)	(30.0, 76105.0)	(31.0, 97893.0)	(32.0, 128594.0)	(33.0, 179153.0)	(34.0, 273628.0)	(35.0, 614643.0)	(36.0, 6346506.0)	(37.0, 11236299.0)		
SC_321.raw	(17.0, 1.0)	(18.0, 12.0)	(19.0, 23.0)	(20.0, 87.0)	(21.0, 299.0)	(22.0, 867.0)	(23.0, 2143.0)	(24.0, 4819.0)	(25.0, 9245.0)	(26.0, 15380.0)	(27.0, 23560.0)	(28.0, 34845.0)	(29.0, 49064.0)	(30.0, 65030.0)	(31.0, 84720.0)	(32.0, 112442.0)	(33.0, 156294.0)	(34.0, 229083.0)	(35.0, 448357.0)	(36.0, 6839056.0)	(37.0, 15845329.0)			
SC_325.raw	(15.0, 1.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 7.0)	(19.0, 33.0)	(20.0, 95.0)	(21.0, 334.0)	(22.0, 934.0)	(23.0, 2258.0)	(24.0, 5060.0)	(25.0, 9493.0)	(26.0, 15427.0)	(27.0, 23516.0)	(28.0, 34293.0)	(29.0, 48436.0)	(30.0, 63942.0)	(31.0, 83762.0)	(32.0, 111712.0)	(33.0, 157357.0)	(34.0, 236109.0)	(35.0, 516458.0)	(36.0, 9213076.0)	(37.0, 13054569.0)	
SC_330.raw	(16.0, 1.0)	(17.0, 2.0)	(18.0, 7.0)	(19.0, 28.0)	(20.0, 96.0)	(21.0, 367.0)	(22.0, 1053.0)	(23.0, 2631.0)	(24.0, 5725.0)	(25.0, 10711.0)	(26.0, 17086.0)	(27.0, 24757.0)	(28.0, 35120.0)	(29.0, 47706.0)	(30.0, 62752.0)	(31.0, 81426.0)	(32.0, 108550.0)	(33.0, 149869.0)	(34.0, 221251.0)	(35.0, 461253.0)	(36.0, 7787721.0)	(37.0, 13502403.0)		
SC_331.raw	(16.0, 2.0)	(17.0, 3.0)	(18.0, 12.0)	(19.0, 55.0)	(20.0, 185.0)	(21.0, 490.0)	(22.0, 1374.0)	(23.0, 3252.0)	(24.0, 7468.0)	(25.0, 13139.0)	(26.0, 20660.0)	(27.0, 29723.0)	(28.0, 41691.0)	(29.0, 55900.0)	(30.0, 73474.0)	(31.0, 94701.0)	(32.0, 123698.0)	(33.0, 168819.0)	(34.0, 248305.0)	(35.0, 572292.0)	(36.0, 8816705.0)	(37.0, 14925537.0)		
